2016/01	9,991,912	322,320	32,622,412	Like OOH-AHH(OOH-AHH하게)
2016/02	8,964,627	309,125	41,587,039	Like OOH-AHH(OOH-AHH하게)
2016/03	7,827,435	252,498	49,414,474	Like OOH-AHH(OOH-AHH하게)
2016/04	7,346,884	244,896	56,761,358	Like OOH-AHH(OOH-AHH하게)
2016/05	9,599,255	309,653	66,360,613	Like OOH-AHH(OOH-AHH하게)
2016/06	7,880,942	262,698	74,241,555	Like OOH-AHH(OOH-AHH하게)
2016/07	6,937,629	223,794	81,179,184	Like OOH-AHH(OOH-AHH하게)
2016/08	5,741,918	185,223	86,921,102	Like OOH-AHH(OOH-AHH하게)
2016/09	4,770,890	159,030	91,691,992	Like OOH-AHH(OOH-AHH하게)
2016/10	5,871,668	189,409	97,563,660	Like OOH-AHH(OOH-AHH하게)
2016/11	7,593,501	253,117	105,157,161	Like OOH-AHH(OOH-AHH하게)
2016/12	8,499,694	274,184	113,656,855	Like OOH-AHH(OOH-AHH하게)
2017/01	8,957,350	288,947	122,614,205	Like OOH-AHH(OOH-AHH하게)
2017/02	8,497,430	303,480	131,111,635	Like OOH-AHH(OOH-AHH하게)
2017/03	9,673,282	312,041	140,784,917	Like OOH-AHH(OOH-AHH하게)
2017/04	8,410,630	280,354	149,195,547	Like OOH-AHH(OOH-AHH하게)
2017/05	9,212,078	297,164	158,407,625	Like OOH-AHH(OOH-AHH하게)
2017/06	9,073,665	302,456	167,481,290	Like OOH-AHH(OOH-AHH하게)
2017/07	10,028,559	323,502	177,509,849	Like OOH-AHH(OOH-AHH하게)
2017/08	9,052,406	292,013	186,562,255	Like OOH-AHH(OOH-AHH하게)
2017/09	6,525,309	217,510	193,087,564	Like OOH-AHH(OOH-AHH하게)
2017/10	6,788,937	218,998	199,876,501	Like OOH-AHH(OOH-AHH하게)
2017/11	6,792,266	226,409	206,668,767	Like OOH-AHH(OOH-AHH하게)
2017/12	8,134,848	262,414	214,803,615	Like OOH-AHH(OOH-AHH하게)
2018/01	8,357,284	269,590	223,160,899	Like OOH-AHH(OOH-AHH하게)
2018/02	6,386,658	228,095	229,547,557	Like OOH-AHH(OOH-AHH하게)
2018/03	3,383,506	109,145	232,931,063	Like OOH-AHH(OOH-AHH하게)
2018/04	3,194,866	106,496	236,125,929	Like OOH-AHH(OOH-AHH하게)
2018/05	2,884,785	93,058	239,010,714	Like OOH-AHH(OOH-AHH하게)
2018/06	2,736,667	91,222	241,747,381	Like OOH-AHH(OOH-AHH하게)
2018/07	3,411,273	110,041	245,158,654	Like OOH-AHH(OOH-AHH하게)
2018/08	6,978,367	225,109	252,137,021	Like OOH-AHH(OOH-AHH하게)
2018/09	5,768,097	192,270	257,905,118	Like OOH-AHH(OOH-AHH하게)
2018/10	6,291,069	202,938	264,196,187	Like OOH-AHH(OOH-AHH하게)
2018/11	7,288,306	242,944	271,484,493	Like OOH-AHH(OOH-AHH하게)
2018/12	5,948,830	191,898	277,433,323	Like OOH-AHH(OOH-AHH하게)
2019/01	6,320,198	203,877	283,753,521	Like OOH-AHH(OOH-AHH하게)
2019/02	5,701,815	203,636	289,455,336	Like OOH-AHH(OOH-AHH하게)
2019/03	5,433,907	175,287	294,889,243	Like OOH-AHH(OOH-AHH하게)
2019/04	4,995,069	166,502	299,884,312	Like OOH-AHH(OOH-AHH하게)
2019/05	1,531,543	170,171	301,415,855	Like OOH-AHH(OOH-AHH하게)
2018/04	77,247,348	3,511,243	77,247,348	What is Love?
2018/05	42,181,187	1,360,683	119,428,535	What is Love?
2018/06	25,904,371	863,479	145,332,906	What is Love?
2018/07	21,479,172	692,877	166,812,078	What is Love?
2018/08	16,408,105	529,294	183,220,183	What is Love?
2018/09	12,518,296	417,277	195,738,479	What is Love?
2018/10	13,600,275	438,719	209,338,754	What is Love?
2018/11	13,999,571	466,652	223,338,325	What is Love?
2018/12	15,907,706	513,152	239,246,031	What is Love?
2019/01	15,602,814	503,317	254,848,845	What is Love?
2019/02	12,407,851	443,138	267,256,696	What is Love?
2019/03	11,062,333	356,849	278,319,029	What is Love?
2019/04	9,851,525	328,384	288,170,554	What is Love?
2019/05	2,884,025	320,447	291,054,579	What is Love?
2017/12	71,531,969	3,406,284	71,531,969 Heart Shaker
2018/01	39,885,572	1,286,631	111,417,541 Heart Shaker
2018/02	24,441,984	872,928	135,859,525 Heart Shaker
2018/03	18,976,317	612,139	154,835,842 Heart Shaker
2018/04	18,030,512	601,017	172,866,354 Heart Shaker
2018/05	11,922,746	384,605	184,789,100 Heart Shaker
2018/06	11,376,772	379,226	196,165,872 Heart Shaker
2018/07	10,838,306	349,623	207,004,178 Heart Shaker
2018/08	9,561,399	308,432	216,565,577 Heart Shaker
2018/09	6,628,380	220,946	223,193,957 Heart Shaker
2018/10	5,766,530	186,017	228,960,487 Heart Shaker
2018/11	4,884,351	162,812	233,844,838 Heart Shaker
2018/12	5,169,941	166,772	239,014,779 Heart Shaker
2019/01	4,610,883	148,738	243,625,662 Heart Shaker
2019/02	6,018,943	214,962	249,644,605 Heart Shaker
2019/03	7,402,563	238,792	257,047,168 Heart Shaker
2019/04	6,408,263	213,609	263,455,431 Heart Shaker
2019/05	1,717,526	190,836	265,172,957 Heart Shaker
2017/02	37,590,671	3,759,067	37,590,671	KNOCK KNOCK
2017/03	32,688,972	1,054,483	70,279,643	KNOCK KNOCK
2017/04	19,302,371	643,412	89,582,014	KNOCK KNOCK
2017/05	16,431,456	530,047	106,013,470	KNOCK KNOCK
2017/06	11,498,968	383,299	117,512,438	KNOCK KNOCK
2017/07	10,651,208	343,587	128,163,646	KNOCK KNOCK
2017/08	8,771,479	282,951	136,935,125	KNOCK KNOCK
2017/09	6,197,113	206,570	143,132,238	KNOCK KNOCK
2017/10	6,091,917	196,513	149,224,155	KNOCK KNOCK
2017/11	5,895,015	196,500	155,119,170	KNOCK KNOCK
2017/12	6,993,028	225,582	162,112,198	KNOCK KNOCK
2018/01	6,427,288	207,332	168,539,486	KNOCK KNOCK
2018/02	5,293,852	189,066	173,833,338	KNOCK KNOCK
2018/03	6,766,570	218,276	180,599,908	KNOCK KNOCK
2018/04	6,265,263	208,842	186,865,171	KNOCK KNOCK
2018/05	3,989,674	128,699	190,854,845	KNOCK KNOCK
2018/06	4,042,826	134,761	194,897,671	KNOCK KNOCK
2018/07	4,522,250	145,879	199,419,921	KNOCK KNOCK
2018/08	4,483,565	144,631	203,903,486	KNOCK KNOCK
2018/09	3,054,362	101,812	206,957,848	KNOCK KNOCK
2018/10	2,939,093	94,809	209,896,941	KNOCK KNOCK
2018/11	3,009,849	100,328	212,906,790	KNOCK KNOCK
2018/12	2,908,710	93,829	215,815,500	KNOCK KNOCK
2019/01	2,625,681	84,699	218,441,181	KNOCK KNOCK
2019/02	2,099,325	74,976	220,540,506	KNOCK KNOCK
2019/03	2,871,438	92,627	223,411,944	KNOCK KNOCK
2019/04	3,013,230	100,441	226,425,174	KNOCK KNOCK
2019/05	882,663	98,074	227,307,837	KNOCK KNOCK
2017/05	38,816,177	2,283,305	38,816,177	SIGNAL
2017/06	28,140,134	938,004	66,956,311	SIGNAL
